,IO,IO_std,compute,compute_std,conclude,conclude_std,n,prepare,prepare_std,total,total_std,universe,universe_std,wait,wait_std
1,63.730232095718385,0.05865994345069539,1.218963384628296,0.026744188691677658,0.00011301040649414062,2.483447391509969e-06,1.0,6.771087646484375e-06,4.6476337169689957e-07,65.91852822303773,0.0936969262998961,0.8646423816680908,0.01793130073065238,0.01727638244628906,0.0009934378737878314
1,31.95000824928284,0.12998716742693553,0.6055521965026855,0.016393923049157107,0.00017080307006835937,4.059232976245513e-05,2.0,7.581710815429688e-06,5.168791625184727e-07,33.9517945766449,0.35458148243192056,1.3094563007354736,0.4071079877939455,0.02640361785888672,0.002103367265753418
1,21.299002122879028,0.04741721492509278,0.4181971549987793,0.004749516434586596,0.00010685920715332031,2.5130494468421213e-05,3.0,7.2479248046875e-06,3.615796777749801e-07,22.66857752799988,0.045589803736070245,0.8769603729248047,0.008246503585727859,0.03410496711730957,0.005896189788984917
1,15.980748844146728,0.03185531587867632,0.31295409202575686,0.007969551661816272,0.0001071929931640625,2.6144964425810082e-05,4.0,7.009506225585937e-06,1.3058723390225555e-07,17.260050821304322,0.025267844288386996,0.8887248516082764,0.0179294261456127,0.03705706596374512,0.003158208585758543
1,12.807905244827271,0.08984830521755162,0.24931917190551758,0.006428820494803797,0.00010137557983398437,2.398448245994433e-06,5.0,7.200241088867187e-06,5.168791625184727e-07,14.023930549621582,0.09122379020848151,0.8826272010803222,0.013741067842431265,0.04667816162109375,0.008005228035325652
1,10.710589122772216,0.09407833985244192,0.20429625511169433,0.004145372983467756,0.00010218620300292969,5.438348171391605e-06,6.0,7.772445678710938e-06,9.015879822344321e-07,11.876838970184327,0.0907911177694594,0.8849607944488526,0.011328136307434638,0.04562840461730957,0.01182748004204852
1,9.21080207824707,0.10938270318952684,0.18416199684143067,0.00261433143252092,0.000106048583984375,9.522427304356854e-06,7.0,8.058547973632812e-06,9.59616269946008e-07,10.37141695022583,0.14603829663862863,0.8945483684539794,0.014214643043055022,0.05461001396179199,0.014390298285992217
1,8.074688005447388,0.09112404984037142,0.15848021507263182,0.0028408893345649765,0.00014481544494628906,5.0725366725826274e-05,8.0,8.249282836914063e-06,1.1131875543526411e-06,9.23918857574463,0.10987629856766673,0.8973803997039795,0.01406766224368374,0.07991738319396972,0.02195737067869861
1,7.256909942626953,0.15001926404459023,0.14868531227111817,0.00917124345762571,0.00010976791381835937,9.797814336479977e-06,9.0,9.202957153320313e-06,2.027259032199985e-06,8.43337173461914,0.15959526776394034,0.9031858444213867,0.01614254005697867,0.08837175369262695,0.016782402989284836
1,6.493334054946899,0.08359057223353276,0.13715667724609376,0.0024852809888557246,0.00012178421020507813,3.075340910679491e-05,10.0,1.0395050048828125e-05,2.6258535198704464e-06,7.658151578903198,0.07985958367353901,0.9042776107788086,0.013786618854134252,0.08704657554626465,0.026005943318606204
1,5.984133338928222,0.12627334811746346,0.13252649307250977,0.005801397546444732,0.00011782646179199218,1.083611786299739e-05,11.0,1.0156631469726563e-05,8.856857119086604e-07,7.161284971237182,0.1250117757438657,0.9063860416412354,0.012175793871996098,0.10754060745239258,0.02650656984542571
1,5.46052656173706,0.06651435109777253,0.12702064514160155,0.0018805653761528227,0.00011677742004394532,9.10278263353574e-06,12.0,9.775161743164062e-06,5.331201499700045e-07,6.645052766799926,0.07336961822390799,0.9121671676635742,0.009213596659252097,0.12081079483032227,0.02228771192849019
1,5.12111463546753,0.10576669910111965,0.11728105545043946,0.0015941969727363673,0.00012760162353515626,3.3322099138580175e-05,13.0,9.441375732421875e-06,5.223489356090223e-07,6.32455039024353,0.10615121862528343,0.918662166595459,0.009228507743740942,0.1283182144165039,0.014589915791781196
1,4.769265604019165,0.1075475633295593,0.1111361026763916,0.005626287430575291,0.00011601448059082032,4.404617901384157e-06,14.0,1.1587142944335938e-05,8.189947146090349e-07,5.961747026443481,0.0832985674678677,0.9181352615356445,0.014681503028743633,0.13042540550231935,0.035527586580115206
1,4.405020380020142,0.012392492264509362,0.10683197975158691,0.0015907903947055776,0.00012774467468261718,8.636546429514072e-06,15.0,1.18255615234375e-05,1.074207337004548e-06,5.605162239074707,0.015911991759348727,0.9210699081420899,0.012997481412627002,0.14407844543457032,0.0307050004237367
1,4.191453313827514,0.101571511900794,0.09912919998168945,0.0028176154807882155,0.0001232624053955078,8.056995987279798e-06,16.0,1.1444091796875e-05,1.20395480851675e-06,5.372020578384399,0.05855301130290366,0.9114882469177246,0.02137201690484763,0.14194798469543457,0.030323994906886184
1,3.914666509628296,0.04512565215838398,0.09407124519348145,0.0013313441571187806,0.00017175674438476562,9.35604750793674e-05,17.0,1.1777877807617187e-05,1.1131875543526414e-06,5.125359964370728,0.04596858944158352,0.9162317752838135,0.0062221139611570745,0.176726770401001,0.014324166924737607
