,IO,compute,conclude,n,prepare,total,universe,wait
0,7.690914154052734,239.3405966758728,0.00015997886657714844,1.0,1.9073486328125e-05,248.780100107193,0.9186549186706543,0.5029928684234619
1,3.3700380325317383,120.46482801437378,0.0001399517059326172,2.0,1.811981201171875e-05,125.62368297576904,0.9653589725494385,0.791377067565918
2,1.6880977153778076,64.91988253593445,0.00013899803161621094,4.0,1.9788742065429688e-05,68.57668113708496,0.9589979648590088,0.9588789939880371
3,0.8820500373840332,35.090288400650024,0.0001590251922607422,8.0,2.002716064453125e-05,38.278756856918335,0.921644926071167,1.303528070449829
4,0.9836611747741699,17.882283210754395,0.0001609325408935547,16.0,2.288818359375e-05,22.170409202575684,0.9590990543365479,2.233933925628662
5,0.3030269145965576,11.459253549575806,0.0001678466796875,24.0,1.8835067749023438e-05,14.124583959579468,0.9771730899810791,1.225750207901001
6,0.2171614170074463,8.803689241409302,0.0001780986785888672,32.0,2.384185791015625e-05,12.523904085159302,0.9763648509979248,2.3726699352264404
7,0.18043875694274902,7.3717076778411865,0.00020694732666015625,40.0,1.9073486328125e-05,11.72440505027771,0.9997529983520508,2.7677741050720215
8,0.15152740478515625,6.280959844589233,0.0002541542053222656,48.0,1.9788742065429688e-05,9.523977041244507,1.0044000148773193,1.7937779426574707
9,0.1311042308807373,5.128668785095215,0.00023293495178222656,56.0,1.7881393432617188e-05,9.903876781463623,0.9564759731292725,3.474937915802002
10,0.13528060913085938,5.618032455444336,0.00030612945556640625,64.0,2.4080276489257812e-05,11.57914400100708,1.0518970489501953,4.434597969055176
11,0.13568353652954102,4.498756170272827,0.00028395652770996094,72.0,1.7881393432617188e-05,11.78213906288147,1.1354789733886719,5.789345026016235
0,7.070886135101318,250.66869115829468,0.00014495849609375,1.0,1.7881393432617188e-05,259.53032207489014,0.9412438869476318,0.5139219760894775
1,3.3812754154205322,120.15045499801636,0.0001361370086669922,2.0,1.9073486328125e-05,125.02319502830505,0.9411029815673828,0.5004079341888428
2,1.6841919422149658,62.799392223358154,0.00014090538024902344,4.0,2.002716064453125e-05,66.32616114616394,0.9278731346130371,0.8752291202545166
3,0.8753459453582764,35.03512501716614,0.0001461505889892578,8.0,2.09808349609375e-05,38.07729887962341,0.9515738487243652,1.1531269550323486
4,0.7631657123565674,16.9395489692688,0.00019097328186035156,16.0,1.9073486328125e-05,21.069121837615967,0.9741261005401611,2.2966468334198
5,0.3098642826080322,11.535929918289185,0.00019598007202148438,24.0,2.193450927734375e-05,14.22524905204773,0.951897144317627,1.271104097366333
6,0.24026203155517578,8.65689468383789,0.00021004676818847656,32.0,2.09808349609375e-05,13.225564002990723,0.9704010486602783,3.226379156112671
7,0.18154382705688477,7.528579473495483,0.0002090930938720703,40.0,2.193450927734375e-05,12.074997901916504,0.9599769115447998,2.964984893798828
8,0.14952731132507324,6.1126627922058105,0.0002129077911376953,48.0,1.8835067749023438e-05,10.924792766571045,0.9728529453277588,3.3030600547790527
9,0.1388862133026123,5.428016901016235,0.00026798248291015625,56.0,2.2172927856445312e-05,8.93314003944397,1.0061821937561035,2.1917099952697754
10,0.14469623565673828,5.456757068634033,0.0003001689910888672,64.0,2.09808349609375e-05,11.730495929718018,1.1021900177001953,4.664811849594116
11,0.1339735984802246,4.543133974075317,0.00030803680419921875,72.0,2.193450927734375e-05,10.829145908355713,1.207442045211792,4.685178995132446
0,6.9621193408966064,241.10674214363098,0.0001499652862548828,1.0,1.6927719116210938e-05,249.82930994033813,0.9362549781799316,0.4916539192199707
1,3.369633913040161,124.1692247390747,0.0001518726348876953,2.0,2.384185791015625e-05,129.1268231868744,0.9380202293395996,0.5814599990844727
2,1.710853099822998,62.782583475112915,0.00014495849609375,4.0,1.7881393432617188e-05,66.32622504234314,0.9185769557952881,0.868682861328125
3,0.8642528057098389,33.18083453178406,0.0001499652862548828,8.0,2.193450927734375e-05,36.57590317726135,0.9508299827575684,1.4914700984954834
