,IO,compute,conclude,n,prepare,total,universe,wait
0,7.66002893447876,0.1313931941986084,9.584426879882812e-05,1.0,6.9141387939453125e-06,10.165249109268188,0.9875569343566895,1.3167080879211426
1,3.220187187194824,0.06318020820617676,7.605552673339844e-05,2.0,1.0967254638671875e-05,4.923796892166138,0.9673480987548828,0.5980560779571533
2,1.6053965091705322,0.03378152847290039,8.106231689453125e-05,4.0,1.0013580322265625e-05,3.485856056213379,0.9657049179077148,0.8170809745788574
3,0.8207156658172607,0.01712799072265625,8.082389831542969e-05,8.0,1.2874603271484375e-05,3.3897809982299805,0.9597978591918945,1.4983389377593994
4,0.4336671829223633,0.01024770736694336,0.00011587142944335938,16.0,9.775161743164062e-06,3.849165201187134,0.9554390907287598,2.3425660133361816
5,0.29762744903564453,0.006083488464355469,0.0002579689025878906,24.0,8.821487426757812e-06,3.5779709815979004,0.9616811275482178,2.2061519622802734
6,0.22558116912841797,0.0038988590240478516,0.0002110004425048828,32.0,1.0013580322265625e-05,3.0113470554351807,0.9599058628082275,1.6976020336151123
7,0.16580986976623535,0.0032982826232910156,0.00045108795166015625,40.0,9.059906005859375e-06,2.2860889434814453,0.9399099349975586,0.9877090454101562
8,0.13062143325805664,0.002627134323120117,0.0005519390106201172,48.0,1.0013580322265625e-05,2.2590529918670654,0.965648889541626,0.950873851776123
9,0.11777186393737793,0.0025110244750976562,0.0005161762237548828,56.0,1.0013580322265625e-05,2.469330072402954,0.9313831329345703,1.2332289218902588
10,0.10068893432617188,0.001986980438232422,0.0006639957427978516,64.0,1.1920928955078125e-05,2.6325738430023193,0.9591889381408691,1.366952896118164
11,0.08645272254943848,0.0016713142395019531,0.0007059574127197266,72.0,1.1920928955078125e-05,2.6513009071350098,1.2599208354949951,1.0412449836730957
0,7.1188130378723145,0.13371777534484863,9.489059448242188e-05,1.0,8.106231689453125e-06,9.332229137420654,0.9927690029144287,1.0217461585998535
1,3.2145819664001465,0.0631105899810791,8.296966552734375e-05,2.0,1.0013580322265625e-05,4.831080913543701,0.9479320049285889,0.5808370113372803
2,1.613783359527588,0.03135490417480469,9.894371032714844e-05,4.0,1.1205673217773438e-05,3.4809911251068115,0.963677167892456,0.8198211193084717
3,0.8680732250213623,0.01721954345703125,9.679794311523438e-05,8.0,1.1920928955078125e-05,3.2552671432495117,0.9387121200561523,1.346325159072876
4,0.43556904792785645,0.009864330291748047,0.00044608116149902344,16.0,1.0013580322265625e-05,3.744865894317627,0.9881479740142822,2.195056200027466
5,0.2905464172363281,0.006292819976806641,0.0004169940948486328,24.0,1.0967254638671875e-05,3.7467081546783447,0.9477088451385498,2.3315348625183105
6,0.2178947925567627,0.004137277603149414,0.00045680999755859375,32.0,1.0013580322265625e-05,3.1577250957489014,0.9673449993133545,1.7998559474945068
7,0.15852594375610352,0.004085540771484375,0.0004630088806152344,40.0,1.2159347534179688e-05,2.201889991760254,0.9562008380889893,0.9044837951660156
8,0.12991738319396973,0.0026502609252929688,0.00047087669372558594,48.0,1.1920928955078125e-05,2.2510509490966797,0.9462277889251709,0.94582200050354
